--- Detection Log Started: 2025-07-16 21:42:55.107528 ---
Video Source: c:\Users\adity\Desktop\OBJDETECT\data\firedata2.mp4
--------------------------------------------------
[2025-07-16 21:42:55.687 | Frame 0] Base and fire YOLO models loaded.
[2025-07-16 21:43:01.324 | Frame 4] Detected HUMAN: Person 0.92 at [176,387,369,679] conf: 0.92
[2025-07-16 21:43:01.325 | Frame 4] Detected HUMAN: Person 0.91 at [349,383,535,678] conf: 0.91
[2025-07-16 21:43:01.325 | Frame 4] Detected VEHICLE: Car 0.91 at [1026,517,1213,658] conf: 0.91
[2025-07-16 21:43:01.325 | Frame 4] Detected VEHICLE: Truck 0.91 at [579,472,826,658] conf: 0.91
[2025-07-16 21:43:01.325 | Frame 4] Detected VEHICLE: Car 0.89 at [822,513,1051,654] conf: 0.89
[2025-07-16 21:43:01.325 | Frame 4] Detected FIRE: FIRE 0.72 at [271,232,408,287] conf: 0.72
[2025-07-16 21:43:01.896 | Frame 5] Detected HUMAN: Person 0.93 at [350,381,531,679] conf: 0.93
[2025-07-16 21:43:01.897 | Frame 5] Detected VEHICLE: Car 0.92 at [1026,516,1213,657] conf: 0.92
[2025-07-16 21:43:01.898 | Frame 5] Detected HUMAN: Person 0.90 at [176,385,368,679] conf: 0.90
[2025-07-16 21:43:01.898 | Frame 5] Detected VEHICLE: Car 0.90 at [822,514,1052,653] conf: 0.90
[2025-07-16 21:43:01.898 | Frame 5] Detected VEHICLE: Truck 0.89 at [580,472,826,655] conf: 0.89
[2025-07-16 21:43:01.898 | Frame 5] Detected FIRE: FIRE 0.77 at [269,230,416,288] conf: 0.77
[2025-07-16 21:43:01.899 | Frame 5] Detected FIRE: FIRE 0.43 at [632,92,821,306] conf: 0.43
[2025-07-16 21:43:02.453 | Frame 6] Detected HUMAN: Person 0.93 at [181,383,370,679] conf: 0.93
[2025-07-16 21:43:02.453 | Frame 6] Detected HUMAN: Person 0.93 at [352,379,533,680] conf: 0.93
[2025-07-16 21:43:02.454 | Frame 6] Detected VEHICLE: Car 0.91 at [1026,513,1213,655] conf: 0.91
[2025-07-16 21:43:02.454 | Frame 6] Detected VEHICLE: Truck 0.89 at [580,466,827,654] conf: 0.89
[2025-07-16 21:43:02.454 | Frame 6] Detected VEHICLE: Car 0.89 at [823,511,1053,649] conf: 0.89
[2025-07-16 21:43:02.454 | Frame 6] Detected FIRE: FIRE 0.78 at [265,225,433,286] conf: 0.78
[2025-07-16 21:43:02.454 | Frame 6] Detected FIRE: FIRE 0.75 at [667,90,835,284] conf: 0.75
[2025-07-16 21:43:02.454 | Frame 6] Detected FIRE: FIRE 0.44 at [661,84,978,312] conf: 0.44
[2025-07-16 21:43:03.008 | Frame 7] Detected HUMAN: Person 0.93 at [181,383,370,679] conf: 0.93
[2025-07-16 21:43:03.008 | Frame 7] Detected HUMAN: Person 0.93 at [352,379,532,680] conf: 0.93
[2025-07-16 21:43:03.008 | Frame 7] Detected VEHICLE: Car 0.91 at [1026,513,1213,655] conf: 0.91
[2025-07-16 21:43:03.008 | Frame 7] Detected VEHICLE: Truck 0.89 at [580,466,827,654] conf: 0.89
[2025-07-16 21:43:03.009 | Frame 7] Detected VEHICLE: Car 0.89 at [823,511,1053,649] conf: 0.89
[2025-07-16 21:43:03.009 | Frame 7] Detected FIRE: FIRE 0.78 at [265,225,433,286] conf: 0.78
[2025-07-16 21:43:03.009 | Frame 7] Detected FIRE: FIRE 0.76 at [667,90,835,284] conf: 0.76
[2025-07-16 21:43:03.009 | Frame 7] Detected FIRE: FIRE 0.46 at [663,83,979,313] conf: 0.46
[2025-07-16 21:43:03.553 | Frame 8] Detected HUMAN: Person 0.93 at [182,381,371,680] conf: 0.93
[2025-07-16 21:43:03.553 | Frame 8] Detected HUMAN: Person 0.93 at [353,378,537,679] conf: 0.93
[2025-07-16 21:43:03.553 | Frame 8] Detected VEHICLE: Car 0.91 at [1026,512,1213,654] conf: 0.91
[2025-07-16 21:43:03.553 | Frame 8] Detected VEHICLE: Car 0.90 at [823,510,1053,650] conf: 0.90
[2025-07-16 21:43:03.553 | Frame 8] Detected VEHICLE: Truck 0.89 at [580,467,828,653] conf: 0.89
[2025-07-16 21:43:03.553 | Frame 8] Detected FIRE: FIRE 0.79 at [262,223,426,283] conf: 0.79
[2025-07-16 21:43:03.553 | Frame 8] Detected FIRE: FIRE 0.78 at [658,82,838,275] conf: 0.78
[2025-07-16 21:43:03.553 | Frame 8] Detected FIRE: FIRE 0.41 at [658,78,973,309] conf: 0.41
[2025-07-16 21:43:04.116 | Frame 9] Detected HUMAN: Person 0.93 at [355,375,539,680] conf: 0.93
[2025-07-16 21:43:04.116 | Frame 9] Detected HUMAN: Person 0.93 at [185,380,371,679] conf: 0.93
[2025-07-16 21:43:04.116 | Frame 9] Detected VEHICLE: Car 0.91 at [1027,510,1213,652] conf: 0.91
[2025-07-16 21:43:04.116 | Frame 9] Detected VEHICLE: Car 0.89 at [823,507,1053,644] conf: 0.89
[2025-07-16 21:43:04.116 | Frame 9] Detected VEHICLE: Truck 0.87 at [581,465,830,651] conf: 0.87
[2025-07-16 21:43:04.116 | Frame 9] Detected FIRE: FIRE 0.80 at [262,220,424,281] conf: 0.80
[2025-07-16 21:43:04.116 | Frame 9] Detected FIRE: FIRE 0.61 at [701,143,832,265] conf: 0.61
[2025-07-16 21:43:04.116 | Frame 9] Detected FIRE: FIRE 0.52 at [698,96,839,267] conf: 0.52
[2025-07-16 21:43:04.650 | Frame 10] Detected HUMAN: Person 0.93 at [355,375,539,680] conf: 0.93
[2025-07-16 21:43:04.650 | Frame 10] Detected HUMAN: Person 0.93 at [185,380,371,679] conf: 0.93
[2025-07-16 21:43:04.651 | Frame 10] Detected VEHICLE: Car 0.91 at [1027,510,1213,652] conf: 0.91
[2025-07-16 21:43:04.651 | Frame 10] Detected VEHICLE: Car 0.89 at [823,507,1053,644] conf: 0.89
[2025-07-16 21:43:04.651 | Frame 10] Detected VEHICLE: Truck 0.87 at [581,465,830,651] conf: 0.87
[2025-07-16 21:43:04.651 | Frame 10] Detected FIRE: FIRE 0.80 at [262,219,426,282] conf: 0.80
[2025-07-16 21:43:04.651 | Frame 10] Detected FIRE: FIRE 0.61 at [700,137,833,265] conf: 0.61
[2025-07-16 21:43:04.651 | Frame 10] Detected FIRE: FIRE 0.52 at [698,91,840,267] conf: 0.52
[2025-07-16 21:43:05.399 | Frame 11] Detected HUMAN: Person 0.93 at [356,374,542,680] conf: 0.93
[2025-07-16 21:43:05.399 | Frame 11] Detected HUMAN: Person 0.92 at [186,379,364,679] conf: 0.92
[2025-07-16 21:43:05.399 | Frame 11] Detected VEHICLE: Car 0.91 at [1028,509,1213,650] conf: 0.91
[2025-07-16 21:43:05.399 | Frame 11] Detected VEHICLE: Car 0.90 at [823,506,1054,643] conf: 0.90
[2025-07-16 21:43:05.399 | Frame 11] Detected VEHICLE: Truck 0.88 at [581,464,830,648] conf: 0.88
[2025-07-16 21:43:05.399 | Frame 11] Detected FIRE: FIRE 0.81 at [259,217,431,281] conf: 0.81
[2025-07-16 21:43:05.399 | Frame 11] Detected FIRE: FIRE 0.47 at [714,189,845,260] conf: 0.47
[2025-07-16 21:43:06.150 | Frame 12] Detected HUMAN: Person 0.93 at [188,378,369,679] conf: 0.93
[2025-07-16 21:43:06.151 | Frame 12] Detected HUMAN: Person 0.92 at [356,373,541,680] conf: 0.92
[2025-07-16 21:43:06.151 | Frame 12] Detected VEHICLE: Car 0.91 at [1027,509,1213,651] conf: 0.91
[2025-07-16 21:43:06.151 | Frame 12] Detected VEHICLE: Car 0.89 at [824,504,1054,644] conf: 0.89
[2025-07-16 21:43:06.151 | Frame 12] Detected VEHICLE: Truck 0.85 at [582,462,831,647] conf: 0.85
[2025-07-16 21:43:06.151 | Frame 12] Detected FIRE: FIRE 0.78 at [258,214,426,279] conf: 0.78
[2025-07-16 21:43:06.151 | Frame 12] Detected FIRE: FIRE 0.65 at [728,182,828,260] conf: 0.65
[2025-07-16 21:43:06.924 | Frame 13] Detected HUMAN: Person 0.93 at [189,378,374,679] conf: 0.93
[2025-07-16 21:43:06.924 | Frame 13] Detected VEHICLE: Car 0.90 at [1031,508,1213,651] conf: 0.90
[2025-07-16 21:43:06.925 | Frame 13] Detected HUMAN: Person 0.90 at [356,373,539,679] conf: 0.90
[2025-07-16 21:43:06.925 | Frame 13] Detected VEHICLE: Car 0.89 at [824,504,1054,643] conf: 0.89
[2025-07-16 21:43:06.925 | Frame 13] Detected VEHICLE: Truck 0.88 at [583,462,831,645] conf: 0.88
[2025-07-16 21:43:06.925 | Frame 13] Detected FIRE: FIRE 0.78 at [259,208,427,278] conf: 0.78
[2025-07-16 21:43:06.925 | Frame 13] Detected FIRE: FIRE 0.69 at [734,176,827,264] conf: 0.69
[2025-07-16 21:43:07.675 | Frame 14] Detected HUMAN: Person 0.93 at [190,377,374,679] conf: 0.93
[2025-07-16 21:43:07.675 | Frame 14] Detected VEHICLE: Car 0.91 at [1032,507,1213,650] conf: 0.91
[2025-07-16 21:43:07.675 | Frame 14] Detected VEHICLE: Car 0.89 at [824,504,1055,643] conf: 0.89
[2025-07-16 21:43:07.675 | Frame 14] Detected HUMAN: Person 0.87 at [359,372,543,677] conf: 0.87
[2025-07-16 21:43:07.675 | Frame 14] Detected VEHICLE: Truck 0.87 at [585,461,831,645] conf: 0.87
[2025-07-16 21:43:07.675 | Frame 14] Detected VEHICLE: Motorcycle 0.51 at [388,532,520,681] conf: 0.51
[2025-07-16 21:43:07.675 | Frame 14] Detected FIRE: FIRE 0.77 at [254,200,446,278] conf: 0.77
[2025-07-16 21:43:07.675 | Frame 14] Detected FIRE: FIRE 0.64 at [734,179,819,264] conf: 0.64
[2025-07-16 21:43:08.415 | Frame 15] Detected HUMAN: Person 0.93 at [191,377,375,679] conf: 0.93
[2025-07-16 21:43:08.415 | Frame 15] Detected HUMAN: Person 0.91 at [358,371,547,679] conf: 0.91
[2025-07-16 21:43:08.415 | Frame 15] Detected VEHICLE: Car 0.90 at [1030,506,1213,649] conf: 0.90
[2025-07-16 21:43:08.416 | Frame 15] Detected VEHICLE: Car 0.90 at [825,504,1055,641] conf: 0.90
[2025-07-16 21:43:08.416 | Frame 15] Detected VEHICLE: Truck 0.90 at [584,459,832,644] conf: 0.90
[2025-07-16 21:43:08.416 | Frame 15] Detected FIRE: FIRE 0.75 at [257,197,452,277] conf: 0.75
[2025-07-16 21:43:08.416 | Frame 15] Detected FIRE: FIRE 0.36 at [740,185,820,265] conf: 0.36
[2025-07-16 21:43:09.178 | Frame 16] Detected HUMAN: Person 0.93 at [193,375,375,679] conf: 0.93
[2025-07-16 21:43:09.179 | Frame 16] Detected HUMAN: Person 0.93 at [360,371,540,679] conf: 0.93
[2025-07-16 21:43:09.179 | Frame 16] Detected VEHICLE: Car 0.90 at [1029,505,1213,647] conf: 0.90
[2025-07-16 21:43:09.179 | Frame 16] Detected VEHICLE: Car 0.89 at [826,503,1056,638] conf: 0.89
[2025-07-16 21:43:09.179 | Frame 16] Detected VEHICLE: Truck 0.89 at [584,458,833,643] conf: 0.89
[2025-07-16 21:43:09.179 | Frame 16] Detected FIRE: FIRE 0.79 at [265,185,422,272] conf: 0.79
[2025-07-16 21:43:09.179 | Frame 16] Detected FIRE: FIRE 0.56 at [721,183,826,256] conf: 0.56
